"","JOIN_NUMBER","assets","years","highest_degree"
"468",8590,343660314,21,"Bachelor's"
"469",8591,591454026,23,"Bachelor's"
"470",8592,82414911,11,"Master's"
"471",8595,117987519,29,"Bachelor's"
"472",8608,22483759,11,"Bachelor's"
"473",8675,38230588,25,"Bachelor's"
"474",8703,196649026,36,"Bachelor's"
"475",8714,52559625,26,"Master's"
"476",8722,3042044,14,"Master's"
"477",8758,134817624,14,"Bachelor's"
"478",8793,5863992,36,"Master's"
"479",8796,45031182,18,"Bachelor's"
"480",8818,39851477,13,"Master's"
"481",8924,621715017,36,"Bachelor's"
"482",8972,132257863,33,"Bachelor's"
"483",8981,577377036,19,"Bachelor's"
"484",8986,350710990,30,"Master's"
"485",9108,66762069,39,"Bachelor's"
"486",9111,32950071,23,"Bachelor's"
"487",9116,121038457,13,"Bachelor's"
"488",9179,51680866,30,"Bachelor's"
"489",9215,339289677,37,"Bachelor's"
"490",9247,26220238,6,"Master's"
"491",9428,540066,2,"Master's"
"492",9431,21782954,27,"Bachelor's"
"493",9484,367653374,12,"Master's"
"494",9496,238016676,20,"Master's"
"495",9573,614714334,37,"Bachelor's"
"496",9582,326065695,21,"Bachelor's"
"497",9648,636496977,29,"Bachelor's"
"498",9663,153012029,26,"Bachelor's"
"499",9811,198740008,24,"Master's"
"500",9832,15536997,15,"Bachelor's"
"501",9859,409413800,46,"Bachelor's"
"502",9875,40294897,9,"Bachelor's"
"503",9883,301875734,13,"Master's"
"504",9905,5268208,10,"Bachelor's"
"505",9965,148484971,25,"Bachelor's"
"506",9975,178100221,2,"Bachelor's"
"507",10057,377210944,34,"Bachelor's"
"508",10091,23076404,4,"Bachelor's"
"509",10148,387128033,32,"Bachelor's"
"510",10172,271744054,19,"Master's"
"511",10261,246446587,10,"Master's"
"512",10304,176231476,28,"Bachelor's"
"513",10305,377786206,16,"Bachelor's"
"514",10332,66490331,31,"Bachelor's"
"515",10343,8912204,11,"Master's"
"516",10361,22437391,5,"Bachelor's"
"517",10364,63303648,13,"Bachelor's"
"518",10405,63358636,11,"Master's"
"519",10410,82690556,22,"Bachelor's"
"520",10477,65088323,35,"Associate's"
"521",10518,161585295,14,"Master's"
"522",10613,178701648,25,"Bachelor's"
"523",10618,14525414,20,"Bachelor's"
"524",10620,29705758,7,"Bachelor's"
"525",10637,402006,27,"Bachelor's"
"526",10689,17274388,24,"Bachelor's"
"527",10748,595181537,18,"Bachelor's"
"528",10764,19611993,13,"Bachelor's"
"529",10773,763097728,33,"Master's"
"530",10838,11560992,16,"Associate's"
"531",10927,10071140,24,"Bachelor's"
"532",10978,23430896,30,"Master's"
"533",11041,12978052,16,"Master's"
"534",11090,28013297,27,"Bachelor's"
"535",11107,9061495,14,"Bachelor's"
"536",11112,171644492,14,"Bachelor's"
"537",11152,38379328,13,"Bachelor's"
"538",11185,39225250,3,"Master's"
"539",11198,156516423,22,"Bachelor's"
"540",11261,177915253,11,"Master's"
"541",11283,361500508,5,"Bachelor's"
"542",11322,81856631,12,"Bachelor's"
"543",11358,72856954,14,"Bachelor's"
"544",11413,607328973,18,"Master's"
"545",11422,23459686,22,"Bachelor's"
"546",11458,19731893,11,"Master's"
"547",11519,27633488,3,"Bachelor's"
"548",11582,46596830,18,"Master's"
"549",11594,3571848,1,"Associate's"
"550",11613,514389,6,"Bachelor's"
"551",11633,84896888,13,"Associate's"
"552",11669,10557626,27,"Master's"
"553",11707,7796818,14,"Master's"
"554",11771,31482329,25,"Bachelor's"
"555",11786,24587990,42,"Bachelor's"
"556",11824,55291742,14,"Associate's"
"557",11850,126094755,24,"Master's"
"558",11860,240307961,31,"Bachelor's"
"559",11927,680779759,15,"Master's"
"560",12131,532265585,16,"Bachelor's"
"561",12263,91143617,20,"Master's"
"562",12277,578381504,2,"Bachelor's"
"563",12279,60839815,30,"Master's"
"564",12280,1646530,3,"Bachelor's"
"565",12300,387268,49,"Bachelor's"
"566",12314,260395968,23,"Bachelor's"
"567",12447,188107817,35,"Bachelor's"
"568",12562,61246408,3,"Bachelor's"
"569",12591,23534248,27,"Bachelor's"
"570",12612,54812387,10,"Bachelor's"
"571",12769,796934456,26,"Master's"
"572",12817,2511362,18,"Associate's"
"573",13039,847745597,25,"Bachelor's"
"574",13055,82915723,27,"Associate's"
"575",13060,422847722,21,"Master's"
"576",13146,162427100,15,"Master's"
"577",13291,40677522,37,"Master's"
"578",13407,238828413,21,"Bachelor's"
"579",13412,163783304,4,"Doctorate's"
"580",13554,41872750,28,"Bachelor's"
"581",13623,583590681,17,"Master's"
"582",13681,359697712,5,"Bachelor's"
"583",13838,151839536,34,"Bachelor's"
"584",13846,33583742,26,"Bachelor's"
"585",13994,34400248,11,"Bachelor's"
"586",14036,1811940,27,"Bachelor's"
"587",14080,31978933,21,"Bachelor's"
"588",14206,140110756,2,"Master's"
"589",14259,94663398,37,"Master's"
"590",14300,80785289,27,"Bachelor's"
"591",14319,14303724,27,"Master's"
"592",14331,49173449,14,"Associate's"
"593",14346,1330806,46,"Bachelor's"
"594",14366,198222233,21,"Bachelor's"
"595",14381,888692278,24,"Master's"
"596",14384,16831122,22,"Bachelor's"
"597",14401,10878369,22,"Master's"
"598",14406,675756972,15,"Master's"
"599",14430,219380243,17,"Bachelor's"
"600",14452,249841200,32,"Bachelor's"
"601",14459,219562893,25,"Bachelor's"
"602",14474,33814468,10,"Bachelor's"
"603",14482,266527315,2,"Master's"
"604",14489,381566289,17,"Bachelor's"
"605",14519,75209191,43,"Bachelor's"
"606",14523,262264650,16,"Master's"
"607",14557,207957464,18,"Bachelor's"
"608",14599,383374488,17,"Master's"
"609",14621,13768460,25,"Bachelor's"
